date,above_5pct_count,below_5pct_count,pt20_ratio,pt50_ratio,limit_up_count,limit_down_count,limit_up_down_ratio,new_high_60d,new_low_60d,up_25pct_month,down_25pct_month,up_25pct_qtr,down_25pct_qtr
2019-06-11,0,0,,,0,0,,0,0,0,0,0,0
2019-06-12,94,53,,,36,17,2.12,0,0,0,0,0,0
2019-06-13,119,50,,,42,12,3.5,0,0,0,0,0,0
2019-06-14,29,259,,,9,23,0.39,0,0,0,0,0,0
2019-06-17,81,66,,,31,13,2.38,0,0,0,0,0,0
2019-06-18,66,48,,,22,16,1.38,0,0,0,0,0,0
2019-06-19,143,11,,,47,8,5.88,0,0,0,0,0,0
2019-06-20,167,35,,,41,7,5.86,0,0,0,0,0,0
2019-06-21,248,15,,,30,6,5.0,0,0,0,0,0,0
2019-06-24,103,37,,,33,5,6.6,0,0,0,0,0,0
2019-06-25,65,88,,,21,15,1.4,0,0,0,0,0,0
2019-06-26,89,79,,,15,18,0.83,0,0,0,0,0,0
2019-06-27,130,20,,,32,4,8.0,0,0,0,0,0,0
2019-06-28,43,103,,,15,14,1.07,0,0,0,0,0,0
2019-07-01,349,5,,,61,4,15.25,0,0,0,0,0,0
2019-07-02,85,39,,,16,6,2.67,0,0,0,0,0,0
2019-07-03,42,50,,,14,7,2.0,0,0,0,0,0,0
2019-07-04,49,51,,,19,11,1.73,0,0,0,0,0,0
2019-07-05,84,36,,,26,8,3.25,0,0,0,0,0,0
2019-07-08,34,646,0.26479949077021,,12,8,1.5,0,0,0,0,0,0
2019-07-09,92,33,0.2824088748019017,,23,8,2.88,0,0,33,94,0,0
2019-07-10,47,51,0.2594235033259423,,16,11,1.45,0,0,32,99,0,0
2019-07-11,74,36,0.2535612535612536,,18,8,2.25,0,0,28,89,0,0
2019-07-12,79,52,0.2775845716092317,,20,7,2.86,0,0,40,80,0,0
2019-07-15,128,46,0.3334385854120619,,19,6,3.17,0,0,54,74,0,0
2019-07-16,71,9,0.3462630085146641,,18,1,18.0,0,0,60,64,0,0
2019-07-17,80,14,0.3414249684741488,,21,1,21.0,0,0,43,65,0,0
2019-07-18,28,79,0.2079395085066162,,12,6,2.0,0,0,25,76,0,0
2019-07-19,73,19,0.2474032105760151,,9,4,2.25,0,0,24,74,0,0
2019-07-22,22,461,0.1356357927786499,,7,27,0.26,0,0,24,100,0,0
2019-07-23,132,25,0.189010989010989,,23,4,5.75,0,0,32,75,0,0
2019-07-24,116,1,0.2647613065326633,,24,1,24.0,0,0,36,65,0,0
2019-07-25,93,14,0.2946344524631314,,19,0,,0,0,34,63,0,0
2019-07-26,61,32,0.3124018838304552,,21,1,21.0,0,0,36,51,0,0
2019-07-29,81,13,0.3254865034526051,,17,2,8.5,0,0,23,57,0,0
2019-07-30,72,5,0.4114877589453861,,19,2,9.5,0,0,25,54,0,0
2019-07-31,59,24,0.3610414052697616,,17,3,5.67,0,0,23,43,0,0
2019-08-01,76,26,0.3374098463468172,,20,2,10.0,0,0,33,37,0,0
2019-08-02,63,58,0.2469445314948292,,17,3,5.67,0,0,25,40,0,0
2019-08-05,64,44,0.1996239423378251,,23,2,11.5,0,0,34,34,0,0
2019-08-06,50,490,0.1362781954887218,,14,7,2.0,0,0,32,42,0,0
